date,open,high,low,close,volume,vwap,pct_change,cap,returns,prev_close,amount
2018-05-08,151,153,150,150.88,1280500,151.70045122435,0.653769179452962,60367088000,0.653769179452962,149.9,194254855
2018-05-09,151,153.1,150,151,905600,151.354938200032,0.079533404029696,60415100000,0.079533404029696,150.88,137064459
2018-05-10,151.5,152.78,150.61,151.93,844100,151.704727277897,0.615894039735104,60787193000,0.615894039735104,151,128054112
2018-05-11,151.99,152.76,148.68,148.78,1040200,149.932843683907,-2.07332324096624,59526878000,-2.07332324096624,151.93,155960144
2018-05-14,148.75,148.75,144.01,144.57,1315100,145.662048875739,-2.82968140879151,57842457000,-2.82968140879151,148.78,191564676
2018-05-15,144.59,146.59,143.81,146.01,768800,145.381032778356,0.996057273293213,58418601000,0.996057273293213,144.57,111768938
2018-05-16,145.41,160,144.68,155.09,3008000,153.082215689938,6.21875214026437,62051509000,6.21875214026437,146.01,460466100
2018-05-17,154,154.87,150.58,151.41,1522300,152.556415594209,-2.37281578438327,60579141000,-2.37281578438327,155.09,232234038
2018-05-18,151.4,152.19,148.05,150.69,992700,150.202473602882,-0.475530017832375,60291069000,-0.475530017832375,151.41,149109300
2018-05-21,151,154.5,151,152.06,1029700,152.777862376723,0.909151237640191,60839206000,0.909151237640191,150.69,157314601
2018-05-22,153.5,157,153.5,155,2086100,155.491438952896,1.93344732342496,62015500000,1.93344732342496,152.06,324376133
2018-05-23,153.78,154.05,151.33,151.36,1243500,152.388768884593,-2.34838709677418,60559136000,-2.34838709677418,155,189491472
2018-05-24,151.36,155.55,151.08,152.26,1001100,153.240457027781,0.594608879492585,60919226000,0.594608879492585,151.36,153405497
2018-05-25,151,152.26,148,148.72,1156600,149.319346418452,-2.32497044529094,59502872000,-2.32497044529094,152.26,172699919
2018-05-28,148.72,149.72,145.6,147.9,834200,148.058205897549,-0.551371705217855,59174790000,-0.551371705217855,148.72,123511784
2018-05-29,149.44,150,145.6,145.97,835700,148.001440646329,-1.30493576741042,58402597000,-1.30493576741042,147.9,123690132
2018-05-30,142.9,142.9,135.99,137.13,1734900,139.497723827474,-6.05603891210523,54865713000,-6.05603891210523,145.97,242018786
2018-05-31,137.36,139.49,136.88,139.02,900800,138.506391789201,1.37825421133232,55621902000,1.37825421133232,137.13,124761710
2018-06-01,138.98,138.98,134.88,135.14,953900,136.21830186365,-2.7909653287297,54069514000,-2.7909653287297,139.02,129936050
2018-06-04,135.86,136.88,135,135.75,605700,136.030700494338,0.451383750185004,54313575000,0.451383750185004,135.14,82388082
2018-06-05,136.5,139.99,135.01,138.88,906500,137.282542196944,2.30570902394106,55565888000,2.30570902394106,135.75,124449782
2018-06-06,139,139.27,137.24,137.56,602600,137.757201912434,-0.950460829493083,55037756000,-0.950460829493083,138.88,83010148
2018-06-07,137.56,138.7,136.2,136.54,569100,137.426421281262,-0.741494620529231,54629654000,-0.741494620529231,137.56,78204429
2018-06-08,136.1,136.1,130.5,132.16,1351800,132.586891425663,-3.20785117914164,52877216000,-3.20785117914164,136.54,179237324
2018-06-11,132.13,132.13,125.13,125.49,1410900,126.939868851158,-4.8308945596247,50208549000,-4.8308945596247,132.16,179101492
2018-06-12,125.6,126.99,123.01,126.26,890800,125.338065292505,0.613594708741749,50516626000,0.613594708741749,125.49,111653906
2018-06-13,125,126,120.99,121,1258300,122.819303027895,-4.16600665293838,48412100000,-4.16600665293838,126.26,154543529
2018-06-14,119,123.88,119,121.08,899700,121.606374417855,0.066115702479334,48444108000,0.066115702479334,121,109408039
2018-06-15,120.11,121.95,113.9,115.35,1396000,117.046490687679,-4.73240832507433,46151535000,-4.73240832507433,121.08,163396901
2018-06-19,111,114.4,103.82,104.42,1977600,108.628999878638,-9.4755093194625,41778442000,-9.4755093194625,115.35,214820365
2018-06-20,104,109.8,103.5,107.96,1468100,107.511308848312,3.39015514269297,43194796000,3.39015514269297,104.42,157832407
2018-06-21,107.55,108,104.2,104.6,1066800,106.303274608776,-3.11226380140793,41850460000,-3.11226380140793,107.96,113409117
2018-06-22,104.5,111.55,103.5,109.94,1626800,108.484182469444,5.10516252390057,43986994000,5.10516252390057,104.6,176478922
2018-06-25,110.97,111.38,108.1,108.41,983600,109.29858635688,-1.39166818264507,43374841000,-1.39166818264507,109.94,107501499
2018-06-26,105.51,111.18,105,110.32,1112500,109.007990889128,1.76183008947514,44139032000,1.76183008947514,108.41,121273243
2018-06-27,105.87,107.7,100.13,101.19,2415300,104.420584688012,-8.27592458303118,40486119000,-8.27592458303118,110.32,252204010
